"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"twit",0.707087406573473,0.0676110008929935,0.708,0.625,1,"twit"
"CG10947",0.707269149105115,0.0310204747492897,1,1,1,"CG10947"
"SIFa",0.707311949150313,-0.0283190461151923,0.5,0.5,1,"SIFa"
"hopper{}634",0.707328177396517,0.0325601474820667,0.75,0.375,1,"hopper{}634"
"eIF3k",0.7073837711154,0.0680846335241991,0.958,0.958,1,"eIF3k"
"CG16779",0.707431715464493,0.0823665185875031,1,1,1,"CG16779"
"Kots",0.707475323818587,-0.0574867633685434,0,0.125,1,"Kots"
"CG12617",0.707759853018242,-0.0322723608465942,0.083,0.125,1,"CG12617"
"Rcc1",0.707883024285779,-0.00229433004235879,1,1,1,"Rcc1"
"CG34457",0.70790505759253,-0.0170058361034187,0.125,0.125,1,"CG34457"
"Doc{}RR48385",0.70796723324248,-0.00670575566538201,1,0.875,1,"Doc{}RR48385"
"Lmx1a",0.708058047319386,0.119836672548999,1,1,1,"Lmx1a"
"CG11825",0.708368398095314,-0.0333731203658898,0.792,0.708,1,"CG11825"
"CG8326",0.708478332093836,-0.0131013235102992,0.792,0.792,1,"CG8326"
"CG7148",0.70875461066268,0.0873367439843857,0.917,0.875,1,"CG7148"
"Marcal1",0.708816143228024,-0.00863329707455351,0.875,0.75,1,"Marcal1"
"Atxn7",0.708917767678015,0.0929549163481531,1,1,1,"Atxn7"
"mRpL27",0.70911438262708,-0.029256856525528,0.917,0.667,1,"mRpL27"
"Hpd",0.709308208231621,-0.0220091674281786,0.375,0.333,1,"Hpd"
"Taf6",0.709338787436694,0.122228196240934,1,1,1,"Taf6"
"CG16736",0.709352604757738,0.0621052833057352,0.333,0.125,1,"CG16736"
"CG11672",0.709511631250845,-0.0653091242389188,0,0.083,1,"CG11672"
"CG14384",0.709540004652839,-0.0137886172645585,0.25,0.167,1,"CG14384"
"asRNA:CR17025",0.709584905963842,0.098773134559318,1,1,1,"asRNA:CR17025"
"ATPsyngamma",0.709832997207346,0.0956541731146827,1,1,1,"ATPsyngamma"
"G5{}5035",0.709948418806515,-0.0254661096066284,0.083,0.125,1,"G5{}5035"
"Gr58b",0.709960070228056,-0.0458603610135278,0.042,0.125,1,"Gr58b"
"MnM",0.709961840252223,0.00118998910922041,0.208,0.208,1,"MnM"
"asRNA:TS15",0.709979298976368,-0.0322245912294932,0.333,0.333,1,"asRNA:TS15"
"rau",0.710001512642232,0.086083333943257,1,0.958,1,"rau"
"ltl",0.710106017907508,0.0992879733689187,1,1,1,"ltl"
"ord",0.710153948675413,-0.0294088091680953,0.083,0.125,1,"ord"
"asRNA:CR46045",0.710183032861674,-0.0475075717390547,0.042,0.125,1,"asRNA:CR46045"
"mael",0.710186228542937,0.0702042337566651,0.875,0.667,1,"mael"
"CG11444",0.710206583347498,0.0850650195563563,0.958,0.875,1,"CG11444"
"lncRNA:CR45957",0.710211195427431,-0.0449902548488419,0.042,0.083,1,"lncRNA:CR45957"
"Sply",0.710282159653299,0.0742482755200653,1,1,1,"Sply"
"TwdlV",0.710377253409631,-0.0297840118135504,0.083,0.125,1,"TwdlV"
"pyr",0.710500485796681,-0.0186473473074602,1,1,1,"pyr"
"transib3{}1705",0.710612222827792,0.086030285598059,1,0.917,1,"transib3{}1705"
"CG17715",0.71063746279674,0.012972373823704,1,1,1,"CG17715"
"Doc{}1418",0.710763731204025,-0.020427460140958,0.125,0.125,1,"Doc{}1418"
